ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
1,Freshwater fishes,13,Miscellaneous freshwater fishes,DAG,"Stolothrissa, Limnothrissa spp",1,Freshwater fish,8,Other freshwater fish,Flesh edible fraction,63
3,Marine fishes,33,Miscellaneous coastal fishes,DEX,Dentex spp,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
5,Molluscs,57,"Squids, cuttlefishes, octopuses",YUR,Thysanoteuthis rhombus,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",DON,Donax spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,57,"Squids, cuttlefishes, octopuses",CTR,Sepiola rondeletii,9,Cephalopods,73,Cuttlefish,Meat edible fraction,65
5,Molluscs,57,"Squids, cuttlefishes, octopuses",EJE,Sepia elegans,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
3,Marine fishes,34,Miscellaneous demersal fishes,BDL,Benthodesmus elongatus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,59
5,Molluscs,56,"Clams, cockles, arkshells",DKX,Tridacna maxima,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",PQQ,Spisula aequilatera,10,Bivalves and other molluscs and aquatic invertebrates,81,Other molluscs and aquatic invertebrates,Meat edible fraction,18
3,Marine fishes,35,"Herrings, sardines, anchovies",ANE,Engraulis encrasicolus,5,Small pelagics,34,Anchovy,Flesh edible fraction,62
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OUL,Alloteuthis subulata,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQE,Todarodes sagittatus,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,32,"Cods, hakes, haddocks",HKE,Merluccius merluccius,3,Groundfish,16,Hake,Flesh edible fraction,53
3,Marine fishes,35,"Herrings, sardines, anchovies",PIL,Sardina pilchardus,5,Small pelagics,39,Sardine,Flesh edible fraction,62
3,Marine fishes,31,"Flounders, halibuts, soles",PLE,Pleuronectes platessa,4,Flatfish,99,"Plaice, European",Flesh edible fraction,49
5,Molluscs,56,"Clams, cockles, arkshells",RAE,Solen marginatus,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,35,"Herrings, sardines, anchovies",SPR,Sprattus sprattus,5,Small pelagics,35,Sprat (=Brisling),Flesh edible fraction,56
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQR,Loligo vulgaris,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,37,Miscellaneous pelagic fishes,HMY,Caranx rhonchus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,33,Miscellaneous coastal fishes,FLF,Cantherhines (=Navodon) spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,33,Miscellaneous coastal fishes,FFX,Monacanthidae,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,33,Miscellaneous coastal fishes,MUF,Mugil cephalus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,50
5,Molluscs,56,"Clams, cockles, arkshells",TDS,Tridacna squamosa,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OMM,Ommastrephes spp,9,Cephalopods,75,Squid,Meat edible fraction,67
