ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
3,Marine fishes,34,Miscellaneous demersal fishes,XSX,Scorpaeniformes,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
3,Marine fishes,34,Miscellaneous demersal fishes,SCO,Scorpaenidae,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
3,Marine fishes,34,Miscellaneous demersal fishes,SCS,Scorpaena spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
3,Marine fishes,33,Miscellaneous coastal fishes,ALN,Aluterus scriptus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
5,Molluscs,54,Mussels,MSX,Mytilidae,10,Bivalves and other molluscs and aquatic invertebrates,77,"Mussel, other",Meat edible fraction,24
3,Marine fishes,36,"Tunas, bonitos, billfishes",KGX,Scomberomorus spp,5,Small pelagics,40,Miscellaneous small pelagics,Flesh edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQS,Martialia hyadesi,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",NCL,Paphia spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,37,Miscellaneous pelagic fishes,DCC,Decapterus macrosoma,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
5,Molluscs,57,"Squids, cuttlefishes, octopuses",ILL,Illex spp,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,37,Miscellaneous pelagic fishes,LSJ,Alepes djedaba,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,32,"Cods, hakes, haddocks",HKS,Merluccius bilinearis,3,Groundfish,16,Hake,Flesh edible fraction,53
3,Marine fishes,34,Miscellaneous demersal fishes,SFS,Lepidopus caudatus,7,Other marine fish,58,Scabbardfish,Flesh edible fraction,59
3,Marine fishes,33,Miscellaneous coastal fishes,GSU,Pagrus auratus,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
3,Marine fishes,36,"Tunas, bonitos, billfishes",SKJ,Katsuwonus pelamis,6,Tuna and tuna-like species,44,"Tuna, skipjack",Flesh edible fraction,62
3,Marine fishes,34,Miscellaneous demersal fishes,SNQ,Scorpaena notata,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
5,Molluscs,56,"Clams, cockles, arkshells",TDD,Tridacna derasa,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,34,Miscellaneous demersal fishes,SNK,Thyrsites atun,7,Other marine fish,62,Other marine fish,Flesh edible fraction,59
2,Diadromous fishes,23,"Salmons, trouts, smelts",SOC,Oncorhynchus nerka,2,Salmonids,9,Salmon,Flesh edible fraction,62
5,Molluscs,56,"Clams, cockles, arkshells",RAZ,Solen spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",ULO,Spisula solida,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,32,"Cods, hakes, haddocks",PHA,Merluccius gayi,3,Groundfish,16,Hake,Flesh edible fraction,53
3,Marine fishes,35,"Herrings, sardines, anchovies",ANC,Engraulis capensis,5,Small pelagics,34,Anchovy,Flesh edible fraction,62
3,Marine fishes,32,"Cods, hakes, haddocks",POS,Micromesistius australis,3,Groundfish,12,Blue whiting,Flesh edible fraction,49
3,Marine fishes,36,"Tunas, bonitos, billfishes",SBF,Thunnus maccoyii,6,Tuna and tuna-like species,43,"Tuna, bluefin",Flesh edible fraction,58
5,Molluscs,56,"Clams, cockles, arkshells",EKK,Mercenaria campechiensis,10,Bivalves and other molluscs and aquatic invertebrates,81,Other molluscs and aquatic invertebrates,Meat edible fraction,10.8
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OQT,Octopus salutii,9,Cephalopods,74,Octopus,Meat edible fraction,79
3,Marine fishes,34,Miscellaneous demersal fishes,TZY,Trachyscorpia echinata,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
5,Molluscs,56,"Clams, cockles, arkshells",CLT,Spisula polynyma,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,35,"Herrings, sardines, anchovies",STO,Stolephorus spp,5,Small pelagics,34,Anchovy,Flesh edible fraction,62
5,Molluscs,57,"Squids, cuttlefishes, octopuses",ROA,Rossia macrosoma,9,Cephalopods,73,Cuttlefish,Meat edible fraction,65
5,Molluscs,56,"Clams, cockles, arkshells",SVE,Chamelea gallina,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
5,Molluscs,56,"Clams, cockles, arkshells",ULT,Spisula subtruncata,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
5,Molluscs,56,"Clams, cockles, arkshells",SSD,Spisula spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
5,Molluscs,56,"Clams, cockles, arkshells",TCL,Leukoma thaca,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",MUN,Mulinia spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,33,Miscellaneous coastal fishes,FIL,Stephanolepis cirrhifer,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
1,Freshwater fishes,12,Tilapias and other cichlids,TLP,Oreochromis spp,1,Freshwater fish,7,Tilapia,Flesh edible fraction,37
3,Marine fishes,33,Miscellaneous coastal fishes,BDZ,Balistoides viridescens,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
2,Diadromous fishes,24,Shads,TOL,Tenualosa toli,5,Small pelagics,40,Miscellaneous small pelagics,Flesh edible fraction,60
3,Marine fishes,37,Miscellaneous pelagic fishes,HAS,Megalaspis cordyla,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,33,Miscellaneous coastal fishes,TRI,Balistidae,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
5,Molluscs,57,"Squids, cuttlefishes, octopuses",UGU,Scaeurgus unicirrhus,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQU,"Loliginidae, Ommastrephidae",9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQF,Loligo forbesii,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",CLV,Veneridae,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,57,"Squids, cuttlefishes, octopuses",TSQ,Nototodarus sloanii,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",IUB,Lolliguncula brevis,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OCN,Callistoctopus macropus,9,Cephalopods,74,Octopus,Meat edible fraction,79
3,Marine fishes,33,Miscellaneous coastal fishes,DBS,Cantherhines dumerilii,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,32,"Cods, hakes, haddocks",WHG,Merlangius merlangus,3,Groundfish,23,Whiting,Flesh edible fraction,49
3,Marine fishes,31,"Flounders, halibuts, soles",YES,Limanda aspera,4,Flatfish,31,"Sole, other",Flesh edible fraction,49
3,Marine fishes,36,"Tunas, bonitos, billfishes",YFT,Thunnus albacares,6,Tuna and tuna-like species,46,"Tuna, yellowfin",Flesh edible fraction,58
3,Marine fishes,33,Miscellaneous coastal fishes,UBV,Pseudobalistes flavimarginatus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,37,Miscellaneous pelagic fishes,TRY,Selaroides leptolepis,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,37,Miscellaneous pelagic fishes,TUM,Atule mate,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
5,Molluscs,55,"Scallops, pectens",JSC,Mizuhopecten yessoensis,10,Bivalves and other molluscs and aquatic invertebrates,78,Scallop,Meat edible fraction,10.5
