Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYE,Bathyraja meridionalis,Dark-belly skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BMU,Bathyraja murrayi,Murray's skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BZS,Bathyraja scaphiops,Cuphead skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYU,Bathyraja shuntovi,Longnose deep-sea skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYZ,Bathyraja smithii,African softnose skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BJS,Bathyraja spinosissima,Spiny skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BJR,Bathyraja trachura,Roughtail skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BJV,Bathyraja violacea,Okhotsk skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",PJS,Brochiraja asperula,Smooth deep-sea skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",PJF,Brochiraja spinifera,Prickly deep-sea skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RIW,Irolita waitii,Southern round skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",PJA,Pavoraja alleni,Allens skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",PJN,Pavoraja nitida,Peacock skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",QMB,Psammobatis bergi,Blotched sand skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",QMT,Psammobatis normani,Shortfin sand skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",XMB,Psammobatis spp,Psammobatis sand skates nei,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RHK,Rhinoraja kujiensis,Dapple-bellied softnose skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RRW,Rioraja agassizi,Rio skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",YAW,Sympterygia acuta,Bignose fanskate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",YBQ,Sympterygia bonapartii,Smallnose fanskate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",CJA,Cruriraja atlantis,Cuban legskate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",CJD,Cruriraja durbanensis,Smoothnose legskate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",CJP,Cruriraja parcomaculata,Roughnose legskate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RAU,Anacanthobatis marmoratus,Spotted legskate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RAH,Indobatis ori,Black legskate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",SKX,Elasmobranchii,"Sharks, rays, skates, etc. nei",7,Other marine fish,49,Other sharks,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,SIA,Stolothrissa tanganicae,Lake Tanganyika sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,RIA,Rhinosardinia amazonica,Amazon spinejaw sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,CUO,Clupeoides borneensis,Borneo River sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,CLK,Corica soborna,Ganges River sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,MCX,Microthrissa royauxi,Royal sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,PCM,Poecilothrissa moeruensis,Lake Mweru sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,CNR,Nannothrissa parva,Lake Tumba dwarf sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,CUR,Clupeichthys aesarnensis,Thai river sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,CVU,Clupeichthys goniognathus,Sumatran river sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,2,Diadromous fishes,24,Shads,CLA,Clupeonella cultriventris,Black and Caspian Sea sprat,5,Small pelagics,35,Sprat (=Brisling),TRUE
16-218,Sprats ,Sprats ,2,Diadromous fishes,24,Shads,CLE,Clupeonella engrauliformis,Anchovy sprat,5,Small pelagics,35,Sprat (=Brisling),TRUE
16-218,Sprats ,Sprats ,2,Diadromous fishes,24,Shads,CLG,Clupeonella grimmi,Southern Caspian sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,2,Diadromous fishes,24,Shads,CWA,Clupeonella spp,Black-Caspian Sea sprats nei,5,Small pelagics,35,Sprat (=Brisling),TRUE
16-218,Sprats ,Sprats ,2,Diadromous fishes,24,Shads,PLP,Platanichthys platana,River Plate sprat,1,Freshwater fish,8,Other freshwater fish,TRUE
16-218,Sprats ,Sprats ,3,Marine fishes,35,"Herrings, sardines, anchovies",SPR,Sprattus sprattus,European sprat,5,Small pelagics,35,Sprat (=Brisling),TRUE
16-218,Sprats ,Sprats ,3,Marine fishes,35,"Herrings, sardines, anchovies",FAS,Sprattus fuegensis,Falkland sprat,5,Small pelagics,35,Sprat (=Brisling),TRUE
16-218,Sprats ,Sprats ,3,Marine fishes,35,"Herrings, sardines, anchovies",FZT,Sprattus antipodum,New Zealand blueback sprat,7,Other marine fish,62,Other marine fish,TRUE
16-218,Sprats ,Sprats ,3,Marine fishes,35,"Herrings, sardines, anchovies",RTA,Ramnogaster arcuata,Jenyns's sprat,7,Other marine fish,62,Other marine fish,TRUE
16-218,Sprats ,Sprats ,3,Marine fishes,35,"Herrings, sardines, anchovies",CEF,Ehirava fluviatilis,Malabar sprat,5,Small pelagics,40,Miscellaneous small pelagics,TRUE
16-218,Sprats ,Sprats ,3,Marine fishes,35,"Herrings, sardines, anchovies",HPV,Hyperlophus vittatus,Sandy sprat,7,Other marine fish,62,Other marine fish,TRUE
16-263,Squid ,Squid ,5,Molluscs,57,"Squids, cuttlefishes, octopuses",,,,9,Cephalopods,75,Squid,TRUE
16-221,Swordfish  ,Swordfish,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,6,Tuna and tuna-like species,45,Swordfish,TRUE
16-154,Tilapia ,Tilapia ,1,Freshwater fishes,12,Tilapias and other cichlids,,,,1,Freshwater fish,7,Tilapia,TRUE
16-224,Trout brown ,Brown trout,2,Diadromous fishes,23,"Salmons, trouts, smelts",TRS,Salmo trutta,Sea trout,2,Salmonids,10,Trout,FALSE
16-395,Trout rainbow  ,Rainbow trout,2,Diadromous fishes,23,"Salmons, trouts, smelts",TRR,Oncorhynchus mykiss,Rainbow trout,2,Salmonids,10,Trout,FALSE
16-399,Tuna  ,Tuna  ,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,6,Tuna and tuna-like species,41,"Tuna, albacore",TRUE
16-399,Tuna  ,Tuna  ,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,6,Tuna and tuna-like species,42,"Tuna, bigeye",TRUE
16-399,Tuna  ,Tuna  ,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,6,Tuna and tuna-like species,43,"Tuna, bluefin",TRUE
16-399,Tuna  ,Tuna  ,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,6,Tuna and tuna-like species,46,"Tuna, yellowfin",TRUE
16-399,Tuna  ,Tuna  ,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,6,Tuna and tuna-like species,47,"Tuna, miscellaneous",TRUE
16-155,Turbot  ,Turbot  ,3,Marine fishes,31,"Flounders, halibuts, soles",,,,4,Flatfish,32,Turbot,TRUE
16-159,Whiting  ,Whiting  ,3,Marine fishes,32,"Cods, hakes, haddocks",POS,Micromesistius australis,Southern blue whiting,3,Groundfish,12,Blue whiting,TRUE
16-159,Whiting  ,Whiting  ,3,Marine fishes,32,"Cods, hakes, haddocks",WHG,Merlangius merlangus,Whiting,3,Groundfish,23,Whiting,TRUE
