Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-360,Salmon wild  ,REMOVE,2,Diadromous fishes,23,"Salmons, trouts, smelts",SAL,Salmo salar,Atlantic salmon,2,Salmonids,9,Salmon,TRUE
16-401,Sardines  ,Sardines  ,3,Marine fishes,35,"Herrings, sardines, anchovies",,,,5,Small pelagics,39,Sardine,TRUE
16-142,Shark ,Shark ,3,Marine fishes,38,"Sharks, rays, chimaeras",,,,7,Other marine fish,49,Other sharks,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",SRR,Amblyraja georgiana,Antarctic starry skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJG,Amblyraja hyperborea,Arctic skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJJ,Amblyraja jenseni,Shorttail skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RFA,Amblyraja taaf,Whiteleg skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRI,Beringraja binoculata,Big skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAH,Beringraja rhina,Longnose skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RFT,Beringraja stellulata,Starry skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRU,Dentiraja australis,Sydney skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRV,Dentiraja cerva,White-spotted skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFM,Dentiraja lemprieri,Thornback skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFP,Dentiraja polyommata,Argus skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJB,Dipturus batis,Blue skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRL,Dipturus bullisi,Bullis skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRM,Dipturus campbelli,Blackspot skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",DPV,Dipturus chilensis,Yellownose skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFD,Dipturus doutrei,Violet skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFU,Dipturus gudgeri,Greenback skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",DPQ,Dipturus innominatus,New Zealand smooth skate,7,Other marine fish,56,Ray,TRUE
