ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,StatsData
3,Marine fishes,33,Miscellaneous coastal fishes,ZGX,Gymnammodytes spp,Gymnammodytes sandeels nei,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,YEI,Hyperoplus immaculatus,Greater sand-eel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,YEZ,Hyperoplus lanceolatus,Great sandeel,3,Groundfish,24,Other groundfish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,YVU,Hyperoplus spp,Sandeels nei,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,XOX,Ammodytidae,Sandlances nei,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NHT,Acanthaphritis barbata,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,BMQ,Bembrops anatirostris,Duckbill flathead,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,DKT,Bembrops greyi,Roundtail duckbill,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,DKU,Bembrops heterurus,Squaretail duckbill,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,CJH,Chrionema chlorotaenia,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,HRO,Hemerocoetes artus,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,OOE,Osopsaron natalensis,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TSV,Pteropsaron evolans,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,FLA,Percophis brasiliensis,Brazilian flathead,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,JIX,Percophidae,Duckbills nei,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,IHV,Cheimarrichthys fosteri,Torrent fish,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,KOF,Kochichthys flavofasciata,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ROJ,Prolatilus jugularis,Pacific sandperch,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,UPN,Pseudopercis numida,Namorado sandperch,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,UPR,Pseudopercis semifasciata,Argentinian sandperch,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,UYX,Pseudopercis spp,NA,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NEB,Parapercis colias,New Zealand blue cod,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,RPI,Parapercis snyderi,U-mark sandperch,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QZO,Parapercis alboguttata,Whitespot sandsmelt,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QZN,Parapercis clathrata,Latticed sandperch,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QZM,Parapercis hexophtalma,Speckled sandperch,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QZL,Parapercis nebulosa,Barred sandperch,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QZK,Parapercis robinsoni,Smallscale grubfish,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QGL,Parapercis dockinsi,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PJR,Pinguipes brasilianus,Brazilian sandperch,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,JPC,Pinguipes chilensis,Chilean sandperch,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,TFI,Trichonotus filamentosus,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TKK,Trichonotus nikii,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QGV,Trichonotus setiger,Spotted sand-diver,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QGW,Trichonotus arabicus,Arabian sand diver,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,OCV,Apodocreedia vanderhorsti,Longfin burrower,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,CXN,Chalixodytes chameleontoculis,Sand dart,7,Other marine fish,62,Other marine fish,NO
