ERSCode,CG_code,CG_descr,MCS_code,MCS_descr,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ScientificName,EnglishName,ProducedInScotland2021
GWG,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius geniporus,Slender goby,FALSE
GWR,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius roulei,Roule's goby,FALSE
GWV,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius vittatus,Striped goby,FALSE
GWX,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius xanthocephalus,Golden goby,FALSE
GWD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius rubropunctatus,NA,FALSE
GKJ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius gasteveni,Steven's gobi,FALSE
GKW,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius auratus,Golden goby,FALSE
GOB,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Gobius spp,Atlantic gobies nei,FALSE
FIM,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Aphia minuta,Transparent goby,FALSE
BJO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bathygobius soporator,Frillfin goby,FALSE
BGU,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bathygobius fuscus,Dusky frillgoby,FALSE
DVC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bathygobius burtoni,NA,FALSE
DVD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bathygobius casamancus,NA,FALSE
